pair,Date,base,fore,spot,ret_1m,rate_base,rate_fore,carry_nom_1m,carry_real_1m,policy_bias,CarryScore,cpi_yoy_base,cpi_yoy_fore,dSpot_12m,dPPP_12m,Value_PPP,ValueScore,mom_3m,ma_fast,ma_slow,ma_signal,rsi_14,rsi_signal,z_bb,MomentumScore,gdp_yoy_base,gdp_yoy_fore,gdp_yoy_diff,cpi_yoy_diff,MacroScore,hedge_cost_1m,HedgeCostScore,FX_Score,FX_Score_next,HedgeRatio
EURCHF,2024-12-31,EUR,CHF,0.94008,0.00859997501694229,0.032712538378560474,,,,,,0.025563909774436233,-0.6470588235294117,0.011996184418144817,-0.6726227333038479,-0.6846189177219928,-0.014595654985958427,-0.001583716750117918,0.93748,0.9522274999999999,-1.0,42.29830508474578,-0.15403389830508446,-0.909350418189875,0.4188134944051445,0.06407137693891185,0.0,-0.06407137693891185,-0.6726227333038479,0.15250890433622608,,,0.1569618184773089,0.10285449157208156,0.5
EURCHF,2025-01-31,EUR,CHF,0.94411,0.004277706754984088,0.0301956736549851,,,,,,0.02562170308967593,-0.6923076923076923,0.013049364802553608,-0.7179293953973682,-0.7309787601999218,-0.03263304799965131,0.004011807295320566,0.93874,0.9532474999999999,-1.0,46.88691232528588,-0.06226175349428246,-0.5949232134556176,0.7116994910614917,0.03810696314815876,0.0,-0.03810696314815876,-0.7179293953973682,0.16180188482266616,,,0.21049474767669893,0.1569618184773089,0.5
EURCHF,2025-02-28,EUR,CHF,0.93706,-0.007495370440798753,0.025319865436653544,,,,,,0.023220973782771548,-0.75,-0.019738595194731014,-0.7732209737827715,-0.7534823785880406,-0.040632050906904464,0.005382311331127626,0.9404166666666667,0.9516908333333335,-1.0,53.28519855595669,0.0657039711191338,-0.9353940662949853,0.7343511914809356,0.03810696314815876,0.0,-0.03810696314815876,-0.7732209737827715,0.16513002007677574,,,0.26470101392262285,0.21049474767669893,0.5
EURCHF,2025-03-31,EUR,CHF,0.95637,0.020397553123717174,0.025981992595520254,,,,,,0.029962546816479474,-0.7,-0.017311154580726462,-0.7299625468164794,-0.7126513922357529,-0.02712139997410298,0.01717988943790251,0.9458466666666666,0.9502991666666668,-1.0,58.69040862656075,0.17380817253121505,0.29527415662926143,1.4070328704276354,0.04003320895757945,0.3333333333333335,0.29330012437575403,-0.7299625468164794,0.24312181290506424,,,0.39676016471437275,0.26470101392262285,0.5
EURCHF,2025-04-30,EUR,CHF,0.93601,-0.02151870728238324,0.02360308619242435,,,,,,0.022172949002217335,-1.0,-0.04659965419242812,-1.0221729490022173,-0.9755732948097893,-0.13564136588208606,-0.008616524599464818,0.9431466666666667,0.9465783333333334,-1.0,42.82284467078937,-0.14354310658421254,-0.9100976875069987,-0.022545773287303138,0.026729692046972175,0.3333333333333335,0.3066036412863613,-1.0221729490022173,0.16140428504909804,,,0.2893893772662483,0.39676016471437275,0.5
EURCHF,2025-05-31,EUR,CHF,0.93325,-0.0029530423865116034,0.021703755137668423,,,,,,0.019911504424778848,-1.0714285714285714,-0.047746158872448194,-1.0913400758533502,-1.043593916980902,-0.17270036797050983,-0.004074196545177669,0.9418766666666666,0.942775,-1.0,33.79720052083336,-0.32405598958333287,-0.9795633505660069,-0.04059319065491129,0.026729692046972175,0.3333333333333335,0.3066036412863613,-1.0913400758533502,0.1145709070065765,,,0.16921653533784167,0.2893893772662483,0.5
EURCHF,2025-06-30,EUR,CHF,0.93482,0.0016808795919325409,0.020884926604615828,,,,,,0.022123893805309658,-0.9230769230769231,-0.029512481052697638,-0.9452008168822328,-0.9156883358295351,-0.1373974639395628,-0.022790870076962302,0.9346933333333333,0.9404416666666666,-1.0,30.38678760910493,-0.3922642478179014,-0.7965789139799608,-0.6805195732105114,0.0510018180877605,-0.8333333333333333,-0.8843351514210938,-0.9452008168822328,-0.13216173134162917,,,-0.14142431519441764,0.16921653533784167,0.5
EURCHF,2025-07-31,EUR,CHF,0.92736,-0.008012157694362962,0.019881182373891804,,,,,,0.01986754966887405,-0.8461538461538461,-0.024804121463332246,-0.8660213958227202,-0.841217274359388,-0.123664845929656,-0.009284320488942024,0.93181,0.9385008333333333,-1.0,28.975928192574457,-0.42048143614851086,-1.1445620647497674,-0.3064608433246493,0.04496428401013053,-0.8333333333333333,-0.8782976173434638,-0.8660213958227202,-0.16247772507561276,,,-0.20120223265079487,-0.14142431519441764,0.5
EURCHF,2025-08-31,EUR,CHF,0.93554,0.008782062991274042,0.018613859699680546,,,,,,0.01986754966887405,-0.8181818181818181,-0.0037128755524261925,-0.8380493678506922,-0.834336492298266,-0.14403581204953636,0.0024507848888436212,0.9325733333333334,0.9382108333333332,-1.0,38.103959532530986,-0.23792080934938029,-0.681209504172988,0.34893452439326006,0.04496428401013053,-0.8333333333333333,-0.8782976173434638,-0.8380493678506922,-0.21078699927644212,,,-0.1726153701893419,-0.20120223265079487,0.5
EURCHF,2025-09-30,EUR,CHF,0.93543,-0.00011758606511788616,0.01604194000137671,,,,,,0.01986754966887405,-0.75,-0.006542378157384517,-0.769867549668874,-0.7633251715114895,-0.13900431987555215,0.0006523192317931942,0.9327766666666667,0.9376991666666666,-1.0,42.58284600389865,-0.14834307992202697,-0.7056044981869755,0.3534450643136461,0.03287094120594358,-0.8,-0.8328709412059436,-0.769867549668874,-0.247038863069672,,,-0.04909851088788769,-0.1726153701893419,0.5
EURGBP,2024-12-31,EUR,GBP,0.82746,-0.0037755239203510482,0.032712538378560474,,,,,,0.025563909774436233,-0.375,-0.04657439744962741,-0.40056390977443623,-0.3539895123248088,-0.5666497603551071,-0.0060724541402976395,0.8339233333333333,0.8444799999999999,-1.0,23.45939243645377,-0.5308121512709246,-1.9895650567501648,-0.7306273218095389,0.06407137693891185,-1.6666666666666667,-1.7307380436055786,-0.40056390977443623,-0.6769901590250242,,,-0.5759645440162636,-0.6315253411344645,1.0
EURGBP,2025-01-31,EUR,GBP,0.83604,0.010315691115726583,0.0301956736549851,,,,,,0.02562170308967593,-0.25,-0.019614045501082117,-0.27562170308967593,-0.2560076575885938,-0.5273915164947094,-0.009144227169042451,0.8313633333333333,0.8431000000000001,-1.0,33.75890007365575,-0.324821998526885,-1.153539102936998,-0.5623740936531653,0.03810696314815876,-1.6666666666666667,-1.7047736298148255,-0.27562170308967593,-0.6530765441630059,,,-0.6460008817433424,-0.5759645440162636,1.0
EURGBP,2025-02-28,EUR,GBP,0.82494,-0.013365802412830474,0.025319865436653544,,,,,,0.023220973782771548,-0.17647058823529416,-0.03683120679421467,-0.1996915620180657,-0.16286035522385103,-0.48793556048471354,-0.0068256352174549395,0.8294799999999999,0.8405208333333333,-1.0,26.193987521270614,-0.4761202495745877,-1.7612722498733844,-0.7685920445684674,0.03810696314815876,-1.6666666666666667,-1.7047736298148255,-0.1996915620180657,-0.6391187492424656,,,-0.618600201131282,-0.6460008817433424,1.0
EURGBP,2025-03-31,EUR,GBP,0.83721,0.014764278660473362,0.025981992595520254,,,,,,0.029962546816479474,-0.1875,-0.020862777761733065,-0.21746254681647947,-0.1965997690547464,-0.5010212506284759,0.011714167363369471,0.8327300000000001,0.83905,-1.0,41.06375566136338,-0.17872488677273238,-0.7728287272889665,0.5075948202944236,0.04003320895757945,-0.1250000000000001,-0.16503320895757956,-0.21746254681647947,-0.42158793654098786,,,-0.43179353634653644,-0.618600201131282,1.0
EURGBP,2025-04-30,EUR,GBP,0.85001,0.015173179043370177,0.02360308619242435,,,,,,0.022172949002217335,0.5217391304347827,-0.004448860202820759,0.49956618143256537,0.5040150416353861,-0.22235036238737949,0.016571655291013065,0.8373866666666667,0.8387341666666667,-1.0,46.925329428989755,-0.061493411420204896,0.19300566130630417,1.1126460174446375,0.026729692046972175,-0.1250000000000001,-0.1517296920469723,0.49956618143256537,-0.33747626771092454,,,-0.1536625836444363,-0.43179353634653644,0.5
EURGBP,2025-05-31,EUR,GBP,0.84316,-0.008091375789346988,0.021703755137668423,,,,,,0.019911504424778848,0.7,-0.009831017720878271,0.6800884955752211,0.6899195132960994,-0.1563652624771284,0.02184608191449655,0.84346,0.83804,1.0,44.23304416403789,-0.11533911671924216,-0.2427683629853498,1.8661042562669472,0.026729692046972175,-0.1250000000000001,-0.1517296920469723,0.6800884955752211,-0.3344192583769262,,,0.2500664283250923,-0.1536625836444363,0.5
EURGBP,2025-06-30,EUR,GBP,0.85829,0.017785299386707115,0.020884926604615828,,,,,,0.022123893805309658,0.8,0.012922621726435574,0.7778761061946904,0.7649534844682548,-0.13669603017940263,0.024867102640730304,0.8504866666666667,0.8389583333333333,1.0,51.94355467059129,0.0388710934118258,1.0774078127250142,2.494852680635707,0.0510018180877605,-0.5,-0.5510018180877605,0.7778761061946904,-0.4037158875208482,,,0.5529262116843795,0.2500664283250923,0.5
EURGBP,2025-07-31,EUR,GBP,0.86426,0.006931611742455629,0.019881182373891804,,,,,,0.01986754966887405,0.7272727272727271,0.025986752569638644,0.707405177603853,0.6814184250342143,-0.18096825536552338,0.016625535339815756,0.8552366666666668,0.8408058333333335,1.0,55.357892086934655,0.1071578417386931,1.5599783995673657,2.1533654017567256,0.04496428401013053,-0.5,-0.5449642840101305,0.707405177603853,-0.44169553170836345,,,0.6836403056504669,0.5529262116843795,0.0
EURGBP,2025-08-31,EUR,GBP,0.86554,0.0014799401475588947,0.018613859699680546,,,,,,0.01986754966887405,0.7272727272727271,0.028179459589460082,0.707405177603853,0.6792257180143929,-0.19057446732819486,0.02619685127672164,0.8626966666666668,0.8428100000000001,1.0,57.85941667383636,0.15718833347672714,1.6913351460527861,2.6190157879355485,0.04496428401013053,-0.5,-0.5449642840101305,0.707405177603853,-0.4715435287866366,,,0.7652336088006858,0.6836403056504669,0.0
EURGBP,2025-09-30,EUR,GBP,0.87279,0.008341387466257372,0.01604194000137671,,,,,,0.01986754966887405,1.2352941176470589,0.04726175522007403,1.2154265679781848,1.1681648127581108,-0.002742039253357535,0.016752939356271895,0.86753,0.8461675,1.0,62.9754860524091,0.25950972104818204,1.9842600873637477,2.1102810080740855,0.03287094120594358,-0.5,-0.5328709412059436,1.2154265679781848,-0.42112846617102323,,,0.7317637076691882,0.7652336088006858,0.0
EURJPY,2024-12-31,EUR,JPY,162.78,0.02721298719813614,0.032712538378560474,,,,,,0.025563909774436233,0.3846153846153846,0.0443400731566399,0.35905147484094835,0.31471140168430844,0.36820664143269066,0.017600850995151518,162.22333333333333,163.83333333333334,-1.0,52.24815025611839,0.04496300512236786,0.31271687635633455,-1.422043833599109,0.06407137693891185,-6.0,-6.064071376938912,0.35905147484094835,-0.6557933564978154,,,-0.6392335430247859,-0.7988445538450875,1.0
EURJPY,2025-01-31,EUR,JPY,160.78,-0.012362624999080474,0.0301956736549851,,,,,,0.02562170308967593,0.8181818181818181,0.01144728354300284,0.7925601150921422,0.7811128315491394,0.5096963946793763,-0.0288133706933964,160.65666666666667,163.98583333333332,-1.0,49.45116279069767,-0.010976744186046545,-0.2027631309022207,-2.451161801228967,0.03810696314815876,-6.0,-6.0381069631481585,0.7925601150921422,-0.5793708516080419,,,-0.7757860716244424,-0.6392335430247859,1.0
EURJPY,2025-02-28,EUR,JPY,156.27,-0.02845169047460505,0.025319865436653544,,,,,,0.023220973782771548,0.3214285714285716,-0.03638135660736985,0.29820759764580007,0.3345889542531699,0.392690795709061,-0.013601328275549385,159.94333333333336,163.50333333333333,-1.0,50.52271431286829,0.010454286257365766,-1.1691999438588991,-2.252739673755607,0.03810696314815876,-6.0,-6.0381069631481585,0.29820759764580007,-0.6109276812315554,,,-0.7644880269698721,-0.7757860716244424,1.0
EURJPY,2025-03-31,EUR,JPY,162.21,0.037306511636813866,0.025981992595520254,,,,,,0.029962546816479474,0.33333333333333326,-0.006697207914395875,0.3033707865168538,0.31006799443124966,0.38974854579643053,-0.003507803836871659,159.75333333333333,163.4125,-1.0,52.94649313087493,0.058929862617498545,0.06401233255164979,-1.6860377574759282,0.04003320895757945,-1.5,-1.5400332089575794,0.3033707865168538,-0.07200841331190942,,,-0.750665085123915,-0.7644880269698721,1.0
EURJPY,2025-04-30,EUR,JPY,162.01,-0.001233730339696315,0.02360308619242435,,,,,,0.022172949002217335,0.43999999999999995,-0.03761458481196378,0.4178270509977826,0.4554416358097464,0.42908313953068883,0.0076210908225125,160.16333333333333,162.895,-1.0,49.95229917954588,-0.0009540164090823567,-0.029151991826735852,-1.5647675059635042,0.026729692046972175,-1.5,-1.5267296920469722,0.4178270509977826,-0.05257360455967791,,,-0.6068369584129159,-0.750665085123915,1.0
EURJPY,2025-05-31,EUR,JPY,163.46,0.008910250365656402,0.021703755137668423,,,,,,0.019911504424778848,0.25,-0.04287054939256496,0.23008849557522115,0.2729590449677861,0.36969875294088256,0.044983031662773953,162.56,162.29833333333332,1.0,50.15203344735841,0.003040668947168257,0.24871879636193167,-0.2890835592035746,0.026729692046972175,-1.5,-1.5267296920469722,0.23008849557522115,-0.070741668970423,,,-0.31648110211284747,-0.6068369584129159,1.0
EURJPY,2025-06-30,EUR,JPY,169.78,0.03793516922183837,0.020884926604615828,,,,,,0.022123893805309658,0.1785714285714286,-0.015255870597065346,0.15644753476611895,0.1717034053631843,0.3347672995699019,0.04561168924779846,165.08333333333334,162.08083333333335,1.0,51.44390966308775,0.02887819326175503,1.5357220964520584,0.003654498675069439,0.0510018180877605,0.0,-0.0510018180877605,0.15644753476611895,0.09332056478317338,,,-0.09418515380752457,-0.31648110211284747,0.5
EURJPY,2025-07-31,EUR,JPY,172.08,0.013456003649652715,0.019881182373891804,,,,,,0.01986754966887405,0.1071428571428572,0.0581433929887778,0.08727530747398315,0.029131914485205357,0.28857777183805655,0.06030142323714749,168.44000000000003,162.89083333333335,1.0,51.35385756676558,0.027077151335311668,1.7605852231995176,0.2813463894006941,0.04496428401013053,0.0,-0.04496428401013053,0.08727530747398315,0.058776885024891555,,,0.13304802842610458,-0.09418515380752457,0.5
EURJPY,2025-08-31,EUR,JPY,171.86,-0.0012792930743978914,0.018613859699680546,,,,,,0.01986754966887405,-0.09999999999999998,0.06223697064410061,-0.11986754966887403,-0.18210452031297464,0.22549439020400303,0.050111879797093195,171.24,163.755,1.0,49.493985105976726,-0.010120297880465472,1.5534845988020423,0.03337409219362022,0.04496428401013053,0.0,-0.04496428401013053,-0.11986754966887403,0.005432774933597061,,,0.16176058675978755,0.13304802842610458,0.5
EURJPY,2025-09-30,EUR,JPY,174.3,0.014097760640898294,0.01604194000137671,,,,,,0.01986754966887405,0.15999999999999992,0.08597920762223143,0.14013245033112587,0.054153242708894433,0.29221436569359266,0.026274471216153117,172.74666666666667,164.95166666666665,1.0,63.33184457347029,0.26663689146940583,1.7775290021901513,-0.03550366594669216,0.03287094120594358,-0.16666666666666663,-0.1995376078726102,0.14013245033112587,-0.011800485215737296,,,0.1431985702857597,0.16176058675978755,0.5
EURUSD,2024-12-31,EUR,USD,1.0354,-0.021308913866206196,0.032712538378560474,,,,,,0.025563909774436233,0.027858893910513993,-0.06406153855650501,0.00229498413607776,0.06635652269258277,0.8150561952997498,-0.07272038222962118,1.0605,1.0788666666666666,-1.0,45.311837081035215,-0.09376325837929571,-2.333949307136,-1.8130340179074411,0.06407137693891185,0.06234512383859592,-0.0017262531003159332,0.00229498413607776,-0.8748559071250086,,,-0.4292751313689209,-0.1382971891591742,0.5
EURUSD,2025-01-31,EUR,USD,1.0362,0.000772349912886855,0.0301956736549851,,,,,,0.02562170308967593,0.030005012736876724,-0.04306614505663874,0.004383309647200795,0.04744945470383954,0.5287678819779916,-0.049148552528403326,1.0431000000000001,1.0750666666666666,-1.0,37.1832358674464,-0.256335282651072,-1.9722916961006383,-1.412481816316847,0.03810696314815876,0.04926908690745235,0.011162123759293596,0.004383309647200795,-0.4668459569339283,,,-0.4844774363201971,-0.4292751313689209,0.5
EURUSD,2025-02-28,EUR,USD,1.0375,0.0012537977241655202,0.025319865436653544,,,,,,0.023220973782771548,0.02821555829283051,-0.04060992384208723,0.004994584510058964,0.045604508352146196,0.5006179607589984,-0.01928276622915382,1.0363666666666667,1.0714833333333333,-1.0,32.65412748171369,-0.34691745036572624,-1.660319389548662,-0.8853793323725482,0.03810696314815876,0.04926908690745235,0.011162123759293596,0.004994584510058964,-0.4285039603228846,,,-0.42674059271656245,-0.4844774363201971,0.5
EURUSD,2025-03-31,EUR,USD,1.0816,0.04162745318384609,0.025981992595520254,,,,,,0.029962546816479474,0.030526627181514776,0.002406740030564916,0.0005640803650353021,-0.001842659665529614,-0.187923560157173,0.04365360082089847,1.0517666666666667,1.0717,-1.0,49.95313964386125,-0.0009372071227750212,0.31079895182960604,0.5565160957161887,0.04003320895757945,0.056900824352887236,0.01686761539530779,0.0005640803650353021,-0.37323909072546574,,,-0.2129533557926608,-0.42674059271656245,0.5
EURUSD,2025-04-30,EUR,USD,1.1328,0.0462510176507558,0.02360308619242435,,,,,,0.022172949002217335,0.02311242287513693,0.06021642477295351,0.0009394738729195939,-0.05927695090003392,-1.0141703520697292,0.08913226855876741,1.0839666666666667,1.0772166666666667,1.0,59.93163691606534,0.19863273832130673,2.162872249363311,1.6267885192350626,0.026729692046972175,0.046465882870932784,0.01973619082396061,0.0009394738729195939,-0.26798990142400936,,,-0.005819287227258237,-0.2129533557926608,0.5
EURUSD,2025-05-31,EUR,USD,1.1347,0.001675854857488418,0.021703755137668423,,,,,,0.019911504424778848,0.021415424521129767,0.04497266061081265,0.0015039200963509192,-0.04346874051446173,-0.7591705352319231,0.08955432569209032,1.1163666666666667,1.081375,1.0,60.56124383769437,0.2112248767538874,1.8979510728743194,1.5607926139043906,0.026729692046972175,0.046465882870932784,0.01973619082396061,0.0015039200963509192,-0.24136689553292473,,,0.16067631394709983,-0.005819287227258237,0.5
EURUSD,2025-06-30,EUR,USD,1.1787,0.03804383743558007,0.020884926604615828,,,,,,0.022123893805309658,0.027038492220809562,0.09553927196401146,0.0049145984154999045,-0.09062467354851156,-1.417834704657659,0.08597070994382429,1.1487333333333334,1.090325,1.0,68.98069759566545,0.37961395191330893,2.606965768511149,1.5030755654544306,0.0510018180877605,0.06191863219377347,0.010916814106012973,0.0049145984154999045,-0.3710682621284559,,,0.12451616297222314,0.16067631394709983,0.5
EURUSD,2025-07-31,EUR,USD,1.1415,-0.032068949262673646,0.019881182373891804,,,,,,0.01986754966887405,0.02704861152032234,0.052977631606972664,0.007181061851448289,-0.045796569755524374,-0.7398970138439944,0.007650743030394841,1.1516333333333335,1.0952333333333335,1.0,59.02004454342984,0.1804008908685968,1.392752917073236,0.4202703137718936,0.04496428401013053,0.045928849035785424,0.0009645650256548954,0.007181061851448289,-0.5813713702129292,,,-0.019108676580441724,0.12451616297222314,0.5
EURUSD,2025-08-31,EUR,USD,1.1686,0.02346326415048655,0.018613859699680546,,,,,,0.01986754966887405,0.02704861152032234,0.05614212802525437,0.007181061851448289,-0.04896106617380608,-0.7883516211343019,0.029438152323392974,1.1629333333333334,1.10055,1.0,64.8368405001525,0.2967368100030501,1.8406529259629858,0.8746955240301927,0.04496428401013053,0.045928849035785424,0.0009645650256548954,0.007181061851448289,-0.5979374880289426,,,-0.13823951392328626,-0.019108676580441724,0.5
EURUSD,2025-09-30,EUR,USD,1.1796,0.00936894682078443,0.01604194000137671,,,,,,0.01986754966887405,0.024569717012905556,0.057667190243698915,0.004702167344031505,-0.05296502289966741,-0.8538514140533094,0.0007632617085973348,1.1632333333333333,1.1060583333333334,1.0,64.8046398046398,0.2960927960927961,1.8045157387297535,0.5110174219568867,0.03287094120594358,0.03300627616338758,0.00013533495744399993,0.004702167344031505,-0.6972897680874954,,,-0.2182148673166988,-0.13823951392328626,0.5
